date,traffic_volume,is_holiday,temp_c,rain_1h,snow_1h,clouds_all
2015/11/17,5356,0,9.86,0,0,90
2015/11/18,5944,0,13.28,0,0,75
2015/11/19,5789,0,-0.5,0,0,75
2015/11/23,5544,0,-1.54,0,0,20
2015/11/25,5181,0,4.86,0,0,1
2015/11/26,1194,1,1.4,0,0,90
2015/11/30,4233,0,-0.87,0,0,90
2015/12/1,4740,0,0.79,0,0,90
2015/12/2,5886,0,-1.74,0,0,90
2015/12/4,5784,0,-5.84,0,0,1
2015/12/8,5524,0,-0.93,0,0,1
2015/12/9,6067,0,-1.29,0,0,1
2015/12/10,5883,0,5.39,0,0,90
2015/12/11,5570,0,2.34,0,0,90
2015/12/15,5789,0,-0.57,0,0,90
2015/12/16,5882,0,2.29,0,0,90
2015/12/17,5707,0,-2.22,0,0,90
2015/12/18,5477,0,-8.13,0,0,90
2015/12/22,5193,0,-1.34,0,0,90
2015/12/23,4619,0,1.58,0.64,0,90
2015/12/24,2639,0,-4.07,0,0,90
2015/12/25,746,1,-2.58,0,0,75
2015/12/29,2979,0,-3.75,0,0.1,75
2015/12/31,3922,0,-13.15,0,0,20
2016/1/1,1077,1,-8.35,0,0,75
2016/1/4,5670,0,-14.22,0,0,1
2016/1/5,5762,0,-5.54,0,0,1
2016/1/11,5494,0,-24.54,0,0,75
2016/1/12,5207,0,-21.2,0,0,1
2016/1/13,6191,0,-18.19,0,0,90
2016/1/14,5714,0,-7.5,0,0,40
2016/1/15,5502,0,-6.14,0,0,90
2016/1/18,3497,0,-23.5,0,0,90
2016/1/19,5883,0,-23.66,0,0,1
2016/1/22,5460,0,-7.6,0,0,90
2016/1/27,6312,0,-8.65,0,0,75
2016/1/28,5815,0,1.14,0,0,90
2016/1/29,5591,0,-4.93,0,0,90
2016/2/2,5526,0,-2.54,0,0,90
2016/2/3,4172,0,-7.92,0,0,90
2016/2/4,5383,0,-10.27,0,0,90
2016/2/5,5716,0,-15.64,0,0,75
2016/2/8,5471,0,-11.28,0,0,90
2016/2/9,5947,0,-14.94,0,0,1
2016/2/11,5965,0,-19.79,0,0,1
2016/2/15,4694,1,-6.29,0,0,90
2016/2/17,5973,0,-12.33,0,0,1
2016/2/23,5556,0,0.86,0,0,90
2016/2/25,5863,0,-2.72,0,0,75
2016/2/29,5772,0,-2.99,0,0,90
2016/3/1,5959,0,-10,0,0,90
2016/3/8,6003,0,13.53,0,0,90
2016/3/9,6115,0,2.28,0,0,90
2016/3/10,6009,0,0.67,0,0,90
2016/3/14,5969,0,8.78,0,0,90
2016/3/15,5771,0,11.21,0,0,90
2016/3/17,6104,0,1.71,0,0,1
2016/3/18,5414,0,-0.64,0,0,90
2016/3/21,5884,0,-2,0,0,1
2016/3/22,6137,0,3,0,0,1
2016/3/25,5170,0,-1.46,0,0,1
2016/3/29,5928,0,6.78,0,0,1
2016/3/30,5923,0,6.57,0,0,90
2016/3/31,5980,0,4.46,0,0,90
2016/4/5,6246,0,0.75,0,0,90
2016/4/6,6251,0,1.13,0,0,1
2016/4/7,5941,0,0.5,0,0,90
2016/4/8,5939,0,-0.53,0,0,90
2016/4/11,6024,0,-0.44,0,0,75
2016/4/12,6199,0,-0.57,0,0,1
2016/4/13,6150,0,7.97,0,0,1
2016/4/14,6171,0,12.64,0,0,40
2016/4/18,6328,0,16.29,0,0,1
2016/4/19,6332,0,9.72,0,0,90
2016/4/20,6405,0,10.93,0,0,90
2016/4/21,6303,0,12.14,0,0,90
2016/4/22,6166,0,5.802,0,0,0
2016/4/25,5521,0,10.44,4.7,0,90
2016/4/26,6326,0,5.3,0,0,90
2016/4/27,6518,0,5.45,0,0,1
2016/4/28,5691,0,3.24,0,0,90
2016/4/29,5464,0,3.8,0,0,75
2016/5/2,5804,0,7.61,0,0,5
2016/5/3,6325,0,11.1,0,0,75
2016/5/4,6446,0,9.65,0,0,1
2016/5/5,6299,0,10,0,0,75
2016/5/6,5690,0,18.16,0,0,1
2016/5/9,5932,0,13.34,0,0,75
2016/5/10,5878,0,9.01,0.42,0,90
2016/5/11,6087,0,10.07,0,0,90
2016/5/12,6268,0,10.19,0,0,20
2016/5/13,5340,0,4.92,1.69,0,90
2016/5/16,5853,0,10.88,0,0,20
2016/5/17,6085,0,9.58,0,0,75
2016/5/18,5742,0,9.85,0,0,1
2016/5/19,5884,0,12.67,0,0,20
2016/5/20,5415,0,14.7,0,0,20
2016/5/23,5791,0,20.48,0,0,90
2016/5/24,5301,0,19.28,0,0,40
2016/5/25,5879,0,19.47,0,0,90
2016/5/26,6176,0,17,0,0,75
2016/5/27,5165,0,18.53,0,0,90
2016/5/30,1258,1,17.05,0,0,75
2016/5/31,5563,0,18.31,0.4,0,90
2016/6/1,6264,0,15.39,0,0,40
2016/6/2,5613,0,14.05,0,0,40
2016/6/3,5471,0,17.59,0,0,75
2016/6/6,5564,0,14.36,0,0,20
2016/6/7,5711,0,12.85,0,0,1
2016/6/8,5841,0,13.06,0,0,0
2016/6/9,5332,0,17.8,0.9,0,68
2016/6/10,5567,0,23.88,0,0,0
2016/6/13,5854,0,19.2,0,0,48
2016/6/14,5944,0,17.96,0,0,88
2016/6/15,6315,0,19.16,0,0,88
2016/6/16,5667,0,17.79,0,0,0
2016/6/17,5717,0,20.79,0,0,0
2016/6/20,5886,0,19.44,0,0,0
2016/6/21,5971,0,16.22,0,0,0
2016/6/22,5880,0,19.41,0,0,48
2016/6/23,5991,0,14.65,0,0,68
2016/6/24,5448,0,18.22,0,0,20
2016/6/27,5332,0,17.77,0,0,75
2016/6/28,5371,0,16.31,0,0,40
2016/6/29,5448,0,17.53,0,0,40
2016/6/30,5549,0,19.73,0,0,75
2016/7/1,4281,0,13.36,0,0,20
2016/7/4,1060,1,19.19,0,0,20
2016/7/5,4441,0,21.3,0,0,75
2016/7/6,5135,0,19.35,0,0,75
2016/7/7,5245,0,20.3,0,0,90
2016/7/8,4956,0,19.31,0,0,20
2016/7/11,5157,0,21.68,0,0,90
2016/7/12,5591,0,21.12,0,0,75
2016/7/13,5598,0,22.68,0,0,40
2016/7/14,5620,0,18.802,0,0,44
2016/7/15,4889,0,15.344,0,0,92
2016/7/18,4813,0,16.708,0,0,92
2016/7/19,5414,0,24.738,0,0,0
2016/7/20,5425,0,24.738,0,0,0
2016/7/21,5461,0,22.22,0,0,75
2016/7/22,4598,0,23.39,0,0,20
2016/7/25,5206,0,20.58,0,0,1
2016/7/26,5392,0,22.51,0,0,20
2016/7/27,5441,0,22.63,0,0,90
2016/7/28,5266,0,17.94,0,0,90
2016/7/29,4523,0,16.91,0,0,75
2016/8/1,5159,0,21.84,0,0,20
2016/8/2,5462,0,23.15,0,0,75
2016/8/3,5748,0,22.96,0,0,1
2016/8/4,4669,0,20.91,12.83,0,32
2016/8/5,5069,0,17.9,0,0,0
2016/8/8,5366,0,19.83,0,0,12
2016/8/9,4748,0,22.44,0,0,64
2016/8/10,5686,0,22.55,0,0,0
2016/8/11,5568,0,19.87,0,0,32
2016/8/12,5393,0,20.98,0,0,88
2016/8/15,5284,0,18.44,0,0,0
2016/8/16,5373,0,20.54,0,0,48
2016/8/17,5853,0,18.47,0,0,0
2016/8/18,5386,0,20.88,0,0,0
2016/8/19,4986,0,18.85,0,0,76
2016/8/22,5397,0,17.28,0,0,75
2016/8/23,5648,0,20.21,0,0,1
2016/8/24,5736,0,20.17,0,0,75
2016/8/25,5798,1,16.81,0,0,1
2016/8/26,5732,0,14.31,0,0,1
2016/8/29,4699,0,21.43,0,0,75
2016/8/30,5806,0,19.43,0,0,75
2016/8/31,5815,0,14.68,0,0,1
2016/9/1,5447,0,14.8,0,0,1
2016/9/2,5143,0,14.28,0,0,1
2016/9/5,1752,1,19.23,0,0,1
2016/9/6,5267,0,20.75,2.29,0,75
2016/9/7,5732,0,20.01,0.51,0,90
2016/9/8,5505,0,15.96,0,0,1
2016/9/9,6022,0,16.71,0.3,0,1
2016/9/12,5759,0,17.05,0,0,1
2016/9/13,5628,0,12.47,0,0,1
2016/9/14,5905,0,7.6,0,0,1
2016/9/15,5919,0,15.44,0,0,90
2016/9/16,5660,0,16.68,0,0,90
2016/9/19,5294,0,17.51,0,0,0
2016/9/20,6224,0,13.13,0,0,32
2016/9/21,6011,0,15.33,0,0,0
2016/9/22,5456,0,16.22,0,0,80
2016/9/23,4934,0,14.96,0,0,76
2016/9/26,5900,0,9.76,0,0,56
2016/9/27,5537,0,8.71,0,0,36
2016/9/28,5703,0,10.7,0,0,92
2016/9/29,5836,0,7.78,0,0,0
2016/9/30,5267,0,10.53,0,0,0
2016/10/3,4873,0,11.61,0,0,0
2016/10/4,5460,0,13.99,1.02,0,64
2016/10/5,5909,0,14.096,0,0,80
2016/10/6,5694,0,10.851,0,0,36
2016/10/7,5307,0,5.508,0,0,0
2016/10/10,5226,1,14.062,0,0,0
2016/10/11,5998,0,14.574,0,0,36
2016/10/12,5453,0,6.382,0,0,92
2016/10/13,5186,0,-2.181,0,0,0
2016/10/14,5215,0,8.128,0,0,48
2016/10/17,5482,0,15.715,0,0,0
2016/10/18,4313,0,11.731,0,0,12
2016/10/19,5862,0,11.453,0,0,0
2016/10/20,5223,0,4.202,0,0,0
2016/10/21,4961,0,5.386,0,0,76
2016/10/24,5110,0,-1.312,0,0,0
2016/10/25,5526,0,3.361,0,0,92
2016/10/26,5120,0,5.826,0,0,100
2016/10/27,5798,0,1.638,0,0,20
2016/10/28,5082,0,10.69,0,0,56
2016/10/31,5108,0,6.602,0,0,32
2016/11/1,5467,0,8.319,0,0,0
2016/11/2,5276,0,4.39,0,0,90
2016/11/3,5865,0,6.26,0,0,1
2016/11/4,5310,0,4.13,0,0,1
2016/11/7,5717,0,9.68,0,0,75
2016/11/8,5495,0,5.75,0,0,1
2016/11/9,5779,0,0.2,0,0,90
2016/11/10,4983,0,6.65,0,0,1
2016/11/11,5269,1,3.41,0,0,1
2016/11/14,5498,0,5.2,0,0,90
2016/11/15,4800,0,3.5,0,0,75
2016/11/16,5584,0,1.55,0,0,40
2016/11/17,5074,0,7.6,0,0,75
2016/11/18,4954,0,7.41,0,0,90
2016/11/21,5277,0,-5.73,0,0,1
2016/11/22,5034,0,0.75,0,0,90
2016/11/23,4219,0,1,0,0,90
2016/11/24,1452,1,1.09,0,0,90
2016/11/25,2024,0,0.88,0,0,90
2016/11/28,5279,0,10.2,0,0,75
2016/11/29,5353,0,1.8,0,0,90
2016/11/30,5681,0,1.8,0,0,90
2016/12/1,5492,0,1.69,0,0,90
2016/12/2,5660,0,-0.53,0,0,90
2016/12/5,5957,0,-1.8,0,0,1
2016/12/7,6210,0,-8,0,0,90
2016/12/8,5934,0,-7.07,0,0,40
2016/12/9,5529,0,-10.4,0,0,1
2016/12/12,4539,0,-17,0,0,90
2016/12/13,5670,0,-22.07,0,0,5
2016/12/14,5599,0,-14.86,0,0,20
2016/12/15,5595,0,-23.13,0,0,40
2016/12/16,4718,0,-13.36,0,0,90
2016/12/19,5278,0,-12,0,0,40
2016/12/20,5701,0,0.2,0,0,1
2016/12/21,5459,0,0.07,0,0,40
2016/12/22,4865,0,-6.44,0,0,1
2016/12/23,3460,0,0.5,0,0,75
2016/12/26,1364,1,-3.86,0,0,90
2016/12/27,4053,0,-7.74,0,0,90
2016/12/28,4423,0,-3.93,0,0,40
2016/12/29,4382,0,-1.13,0,0,90
2016/12/30,4116,0,-7.53,0,0,90
2017/1/2,2014,1,-2.27,0,0,90
2017/1/3,5338,0,-4.43,0,0,90
2017/1/4,5626,0,-21.07,0,0,20
2017/1/5,6091,0,-22.31,0,0,1
2017/1/6,5416,0,-24,0,0,1
2017/1/9,5885,0,-8.62,0,0,90
2017/1/10,3404,0,-2.93,0,0,90
2017/1/11,4082,0,-14.73,0,0,90
2017/1/12,5541,0,-15.2,0,0,90
2017/1/13,5549,0,-22.59,0,0,75
2017/1/16,3716,1,-11.92,0,0,1
2017/1/17,4927,0,-1.26,0,0,90
2017/1/18,5736,0,-2,0,0,20
2017/1/19,5355,0,-0.36,0,0,5
2017/1/20,5728,0,1.93,0,0,90
2017/1/23,5619,0,0.93,0,0,90
2017/1/24,5606,0,-0.07,0,0,90
2017/1/25,5103,0,-2.475,0,0,92
2017/1/26,5830,0,-2.6,0,0,90
2017/1/27,5802,0,-7.43,0,0,90
2017/1/30,3998,0,-5.67,0,0,90
2017/1/31,5655,0,0.93,0,0,75
2017/2/1,5890,0,-11.16,0,0,1
2017/2/2,6013,0,-13.93,0,0,5
2017/2/3,5861,0,-14.71,0,0,1
2017/2/6,5779,0,-8.62,0,0,1
2017/2/7,5059,0,-3.31,0,0,90
2017/2/8,6115,0,-18.06,0,0,40
2017/2/9,5886,0,-17.13,0,0,5
2017/2/10,5710,0,-5.54,0,0,1
2017/2/13,6255,0,-2.13,0,0,1
2017/2/14,6003,0,-1.089,0,0,24
2017/2/15,6036,0,-8.254,0,0,8
2017/2/16,6137,0,-2.679,0,0,20
2017/2/17,5960,0,2.003,0,0,0
2017/2/20,4929,1,13.682,0,0,88
2017/2/22,5732,0,2.53,0,0,90
2017/2/23,6383,0,-1,0,0,75
2017/2/24,5201,0,-3.66,0,0,90
2017/2/27,6085,0,-4.2,0,0,40
2017/2/28,6301,0,2.6,0,0,90
2017/3/1,3997,0,-3,0,0,90
2017/3/2,6031,0,-8.21,0,0,1
2017/3/3,5874,0,-11.07,0,0,40
2017/3/6,5931,0,10.78,0,0,90
2017/3/7,6441,0,-1.33,0,0,1
2017/3/8,6134,0,-4.84,0,0,40
2017/3/9,6327,0,-5.01,0,0,90
2017/3/10,5831,0,-14.93,0,0,1
2017/3/13,4699,0,-10.47,0,0,1
2017/3/14,6007,0,-14.6,0,0,1
2017/3/15,5656,0,-12.12,0,0,1
2017/3/16,6166,0,-5.32,0,0,1
2017/3/17,5538,0,-0.47,0,0,90
2017/3/20,5921,0,5.47,0,0,90
2017/3/21,6345,0,-2.71,0,0,1
2017/3/22,6240,0,-6.93,0,0,5
2017/3/23,6380,0,2.6,0,0,90
2017/3/24,5803,0,2.69,0,0,90
2017/3/27,6138,0,2.57,0,0,90
2017/3/28,6214,0,-0.5,0,0,5
2017/3/29,6312,0,2.86,0,0,90
2017/3/30,6098,0,3.33,0,0,90
2017/3/31,5944,0,0.37,0,0,40
2017/4/3,5958,0,8.06,0,0,90
2017/4/4,6228,0,6.33,0,0,1
2017/4/5,6485,0,4.25,0,0,90
2017/4/6,6019,0,2,0,0,1
2017/4/10,6139,0,6.8,0,0,75
2017/4/11,5665,0,0.73,0,0,90
2017/4/12,6377,0,5.6,0,0,90
2017/4/14,5150,0,8.93,0,0,75
2017/4/17,6166,0,6.54,0,0,40
2017/4/18,5330,0,10.4,0,0,90
2017/4/19,5889,0,6.47,0,0,90
2017/4/20,5858,0,4.67,0,0,90
2017/4/21,6237,0,2.81,0,0,5
2017/4/24,6369,0,10.59,0,0,1
2017/4/25,6318,0,12.14,0,0,75
2017/4/26,5335,0,2.22,0,0,90
2017/4/27,5826,0,0.27,0,0,90
2017/4/28,6092,0,2.2,0,0,5
2017/5/1,5933,0,2.93,0,0,90
2017/5/2,6089,0,5.93,0,0,40
2017/5/3,4922,0,7.71,0,0,1
2017/5/4,5847,0,8.8,0,0,5
2017/5/5,5868,0,7.8,0,0,1
2017/5/8,5729,0,8.26,0,0,1
2017/5/9,6158,0,10.57,0,0,20
2017/5/10,5847,0,12.19,0,0,75
2017/5/11,5778,0,9.15,0,0,1
2017/5/12,5604,0,9.25,0,0,20
2017/5/15,5836,0,15.67,0,0,1
2017/5/16,5490,0,16.81,0,0,90
2017/5/17,5822,0,16.6,0,0,90
2017/5/18,6156,0,8.68,0,0,90
2017/5/19,4695,0,6.33,0,0,90
2017/5/22,6030,0,8.71,0,0,40
2017/5/23,5968,0,9.67,0,0,90
2017/5/24,6042,0,8.93,0,0,90
2017/5/25,5277,0,11.13,0,0,1
2017/5/26,5118,0,16.46,0,0,90
2017/5/29,1735,1,12.53,0,0,90
2017/5/30,5858,0,11.6,0,0,90
2017/5/31,5895,0,11.53,0,0,40
2017/6/1,5949,0,11.24,0,0,5
2017/6/2,5570,0,16.63,0,0,20
2017/6/5,6051,0,15.73,0,0,1
2017/6/6,5771,0,15.13,0,0,5
2017/6/7,6009,0,17.72,0,0,75
2017/6/8,6160,0,20.07,0,0,40
2017/6/9,5457,0,18.19,0,0,5
2017/6/12,5716,0,18.06,0,0,20
2017/6/13,5855,0,20.26,0,0,40
2017/6/14,5629,0,19.6,0,0,75
2017/6/15,5945,0,20.46,0,0,5
2017/6/16,5351,0,19.87,0,0,75
2017/6/19,5328,0,16.47,0,0,40
2017/6/20,6019,0,14.86,0,0,75
2017/6/21,6047,0,16.71,0,0,40
2017/6/22,6044,0,19.81,0,0,90
2017/6/23,5669,0,16.47,0,0,5
2017/6/26,5612,0,11.69,0,0,5
2017/6/27,5857,0,13.39,0,0,1
2017/6/28,5203,0,17.4,0,0,90
2017/6/29,5679,0,18.2,0,0,90
2017/6/30,4940,0,17,0,0,1
2017/7/3,3356,0,17.26,0,0,1
2017/7/4,1333,1,20.27,0,0,1
2017/7/5,5038,0,22.5,0,0,1
2017/7/6,5356,0,22.4,0,0,40
2017/7/7,5251,0,19.93,0,0,1
2017/7/10,5827,0,19.57,0,0,90
2017/7/11,5788,0,19,0,0,5
2017/7/12,6098,0,21.67,0,0,40
2017/7/13,6026,0,13.77,0,0,90
2017/7/14,5772,0,15.93,0,0,90
2017/7/17,5771,0,21,0,0,75
2017/7/18,6128,0,23.47,0,0,75
2017/7/19,5899,0,19.38,0,0,20
2017/7/20,6317,0,20,0,0,75
2017/7/21,5379,0,21.36,0,0,75
2017/7/24,5927,0,15.86,0,0,5
2017/7/25,5865,0,19.13,0,0,90
2017/7/26,6013,0,21.77,0,0,90
2017/7/27,6096,0,19.12,0,0,5
2017/7/28,5370,0,18.26,0,0,40
2017/7/31,5631,0,19.59,0,0,40
2017/8/1,6052,0,19.38,0,0,1
2017/8/2,6029,0,18.28,0,0,40
2017/8/3,5423,0,14.99,0,0,90
2017/8/4,5350,0,13,0,0,40
2017/8/7,6073,0,14.14,0,0,5
2017/8/8,6113,0,16.42,0,0,5
2017/8/9,6205,0,17.33,0,0,75
2017/8/10,6052,0,16.57,0,0,75
2017/8/11,5367,0,14.35,0,0,90
2017/8/14,5970,0,16.8,0,0,40
2017/8/15,6088,0,14.33,0,0,20
2017/8/16,6165,0,18.22,0,0,90
2017/8/17,5990,0,18.79,0,0,90
2017/8/18,5440,0,16.07,0,0,1
2017/8/21,5713,0,18,0,0,90
2017/8/22,5760,0,15.2,0,0,1
2017/8/23,6180,0,12.4,0,0,5
2017/8/24,6266,1,13.73,0,0,75
2017/8/25,5842,0,14.8,0,0,90
2017/8/28,6340,0,16.26,0,0,75
2017/8/29,6259,0,13.5,0,0,40
2017/8/30,6079,0,16.79,0,0,5
2017/8/31,6209,0,12.72,0,0,5
2017/9/1,5950,0,11.57,0,0,75
2017/9/4,1974,1,15.66,0,0,75
2017/9/5,6267,0,10.59,0,0,40
2017/9/6,5848,0,9.27,0,0,1
2017/9/7,6302,0,9.72,0,0,90
2017/9/8,6232,0,10.2,0,0,5
2017/9/11,5998,0,16.06,0,0,40
2017/9/12,5836,0,14.59,0,0,1
2017/9/13,6034,0,17.64,0,0,20
2017/9/14,6122,0,18,0,0,1
2017/9/15,6039,0,19.52,0,0,75
2017/9/18,5641,0,12.6,0,0,90
2017/9/19,6071,0,15.71,0,0,75
2017/9/20,6260,0,20.34,0,0,20
2017/9/21,6143,0,9.59,0,0,5
2017/9/22,5971,0,23.14,0,0,90
2017/9/25,6299,0,15.2,0,0,90
2017/9/26,6261,0,13.92,0,0,90
2017/9/27,5930,0,8.4,0,0,20
2017/9/28,6284,0,11.28,0,0,75
2017/9/29,6094,0,7.53,0,0,5
2017/10/2,6054,0,13.06,0,0,75
2017/10/3,5764,0,16.69,0,0,90
2017/10/4,5836,0,7,0,0,1
2017/10/5,4907,0,10.31,0,0,90
2017/10/6,5817,0,8.28,0,0,75
2017/10/9,5769,1,7.14,0,0,40
2017/10/10,5677,0,0.13,0,0,5
2017/10/11,5859,0,2.07,0,0,5
2017/10/12,5900,0,12.53,0,0,90
2017/10/13,5840,0,8.22,0,0,75
2017/10/16,5887,0,2.2,0,0,5
2017/10/17,5975,0,4.71,0,0,40
2017/10/18,5111,0,9.86,0,0,40
2017/10/19,5508,0,3.57,0,0,75
2017/10/20,5358,0,12.33,0,0,40
2017/10/23,6076,0,9.33,0,0,75
2017/10/24,5929,0,5.07,0,0,75
2017/10/25,5837,0,2.27,0,0,1
2017/10/26,5825,0,8.61,0,0,75
2017/10/27,5159,0,1.07,0,0,90
2017/10/30,5825,0,2,0,0,90
2017/10/31,5890,0,-1.74,0,0,90
2017/11/1,6147,0,-0.6,0,0,90
2017/11/2,5995,0,2.13,0,0,75
2017/11/3,5784,0,-3.14,0,0,1
2017/11/6,5990,0,-5.47,0,0,75
2017/11/7,6091,0,-2.64,0,0,75
2017/11/8,5926,0,-3,0,0,1
2017/11/9,5542,0,-7.27,0,0,75
2017/11/10,5593,1,-10.87,0,0,1
2017/11/13,6117,0,-2.79,0,0,75
2017/11/14,5841,0,4.07,0,0,90
2017/11/15,6104,0,3.53,0,0,75
2017/11/16,6029,0,-2.13,0,0,90
2017/11/17,5344,0,2.5,0,0,90
2017/11/20,5918,0,-1.54,0,0,1
2017/11/21,5932,0,-3.6,0,0,75
2017/11/22,5411,0,-10.73,0,0,1
2017/11/23,1267,1,-6.4,0,0,5
2017/11/24,2480,0,6.46,0,0,1
2017/11/27,5907,0,2.46,0,0,75
2017/11/28,6075,0,6.27,0,0,75
2017/11/29,6020,0,-5.36,0,0,40
2017/11/30,5819,0,2.2,0,0,5
2017/12/1,5772,0,-0.5,0,0,75
2017/12/4,5454,0,10.87,0,0,90
2017/12/5,2160,0,-8.43,0,0,75
2017/12/6,5113,0,-8.77,0,0,5
2017/12/7,5509,0,-13.72,0,0,40
2017/12/8,5448,0,-5.54,0,0,90
2017/12/11,4349,0,-1.4,0,0,90
2017/12/12,5709,0,-14.64,0,0,40
2017/12/13,4696,0,-3.22,0,0,90
2017/12/14,5573,0,-8.84,0,0,75
2017/12/15,5600,0,-5.74,0,0,90
2017/12/18,5039,0,-3.14,0,0,75
2017/12/19,5791,0,0.07,0,0,40
2017/12/20,5694,0,-7.79,0,0,90
2017/12/21,5310,0,-6.87,0,0,90
2017/12/22,4509,0,-7.4,0,0,90
2017/12/25,1260,1,-18.08,0,0,40
2017/12/26,2982,0,-22.59,0,0,20
2017/12/27,4124,0,-23.85,0,0,5
2017/12/28,2745,0,-15.58,0,0,90
2017/12/29,3897,0,-18.62,0,0,90
2018/1/1,811,1,-25.7,0,0,5
2018/1/2,4901,0,-23.14,0,0,1
2018/1/3,5398,0,-17.72,0,0,5
2018/1/4,4478,0,-21.01,0,0,90
2018/1/5,4742,0,-24.36,0,0,5
2018/1/8,5751,0,-3.86,0,0,1
2018/1/9,5965,0,-0.36,0,0,75
2018/1/10,5842,0,1.8,0,0,90
2018/1/11,4475,0,-9.31,0,0,90
2018/1/12,4240,0,-23.77,0,0,5
2018/1/15,3231,1,-15.47,0,0,90
2018/1/16,5066,0,-17.74,0,0,75
2018/1/17,5345,0,-16.14,0,0,40
2018/1/18,5751,0,-5.57,0,0,40
2018/1/19,5673,0,-1.13,0,0,90
2018/1/22,4429,0,-0.13,0,0,90
2018/1/23,3196,0,-7.53,0,0,90
2018/1/24,5625,0,-9.07,0,0,90
2018/1/25,5616,0,-4,0,0,90
2018/1/26,5953,0,3,0,0,75
2018/1/29,5438,0,-16.5,0,0,1
2018/1/30,5489,0,-17.46,0,0,20
2018/1/31,5155,0,-3.8,0,0,1
2018/2/1,5332,0,-19.71,0,0,1
2018/2/2,5149,0,-22.99,0,0,1
2018/2/5,6048,0,-18.79,0,0,1
2018/2/6,5009,0,-23.92,0,0,5
2018/2/7,4915,0,-19.6,0,0,5
2018/2/8,5395,0,-18.14,0,0,40
2018/2/9,5467,0,-18,0,0,20
2018/2/12,5876,0,-19.29,0,0,75
2018/2/13,5915,0,-11.22,0,0,40
